@RELATION D32

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE catagory {0,1}

@DATA
0.795968,-0.390917,1
0.6732779999999999,0.050048,0
0.052658,-0.823795,0
1.319713,-0.829256,1
-0.293081,0.100801,0
0.283237,-1.4458280000000001,1
0.623188,0.256705,0
-1.011274,-1.100074,1
-0.69933,0.731005,0
1.0269780000000002,-1.444782,1
0.862535,-0.2798,1
0.071122,-0.610232,0
0.568807,0.863138,0
-0.81004,-0.523914,1
-1.491062,0.5629890000000001,1
-1.20404,-0.586166,1
0.530695,0.390884,0
0.241883,-0.025691000000000002,0
1.155015,-0.44585,1
-0.711326,0.155894,0
0.169034,-0.556384,0
0.033868999999999996,0.26015900000000003,0
-0.671686,0.680367,0
0.079197,-1.399672,1
-1.425365,0.903429,1
1.285606,1.2759120000000002,1
-1.095356,-0.736668,1
-1.265844,1.060137,1
1.131774,-0.9563,1
0.9796219999999999,-0.983935,1
-1.303575,-1.158379,1
0.217717,1.061653,0
